2.2812 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
53.5106 	EXP 	Fixation: autoDraw = True
54.5104 	EXP 	Fixation: autoDraw = False
54.5104 	EXP 	grating: autoDraw = True
54.8100 	EXP 	grating: autoDraw = False
55.1490 	EXP 	New trial (rep=18, index=0): None
55.1521 	DATA 	Keypress: down
55.1599 	EXP 	Fixation: autoDraw = False
55.1599 	EXP 	grating: autoDraw = False
55.1599 	EXP 	grating: ori = 0.0
55.1599 	EXP 	Fixation: autoDraw = True
56.1601 	EXP 	Fixation: autoDraw = False
56.1601 	EXP 	grating: autoDraw = True
56.4603 	EXP 	grating: autoDraw = False
56.7147 	EXP 	New trial (rep=19, index=0): None
56.7177 	DATA 	Keypress: up
56.7268 	EXP 	Fixation: autoDraw = False
56.7268 	EXP 	grating: autoDraw = False
56.7268 	EXP 	grating: ori = 0.0
56.7268 	EXP 	Fixation: autoDraw = True
57.7270 	EXP 	Fixation: autoDraw = False
57.7270 	EXP 	grating: autoDraw = True
58.0266 	EXP 	grating: autoDraw = False
58.2820 	EXP 	New trial (rep=20, index=0): None
58.2849 	DATA 	Keypress: up
58.2933 	EXP 	Fixation: autoDraw = False
58.2933 	EXP 	grating: autoDraw = False
58.2933 	EXP 	grating: ori = 0.0
58.2933 	EXP 	Fixation: autoDraw = True
59.2932 	EXP 	Fixation: autoDraw = False
59.2932 	EXP 	grating: autoDraw = True
59.5928 	EXP 	grating: autoDraw = False
59.7482 	EXP 	New trial (rep=21, index=0): None
59.7513 	DATA 	Keypress: up
59.7598 	EXP 	Fixation: autoDraw = False
59.7598 	EXP 	grating: autoDraw = False
59.7598 	EXP 	grating: ori = 0.0
59.7598 	EXP 	Fixation: autoDraw = True
60.7595 	EXP 	Fixation: autoDraw = False
60.7595 	EXP 	grating: autoDraw = True
61.0592 	EXP 	grating: autoDraw = False
61.1651 	EXP 	New trial (rep=22, index=0): None
61.1682 	DATA 	Keypress: up
61.1761 	EXP 	Fixation: autoDraw = False
61.1761 	EXP 	grating: autoDraw = False
61.1761 	EXP 	grating: ori = 0.0
61.1761 	EXP 	Fixation: autoDraw = True
62.1760 	EXP 	Fixation: autoDraw = False
62.1760 	EXP 	grating: autoDraw = True
62.4764 	EXP 	grating: autoDraw = False
62.5793 	DATA 	Keypress: up
62.5979 	EXP 	New trial (rep=23, index=0): None
62.6096 	EXP 	Fixation: autoDraw = False
62.6096 	EXP 	grating: autoDraw = False
62.6096 	EXP 	grating: ori = 0.0
62.6096 	EXP 	Fixation: autoDraw = True
